Date,Company,Industry,Close,Volume
11-12-2019 00:00,HDFCLIFE,Financial Services,572.5,2289830
12-12-2019 00:00,HDFCLIFE,Financial Services,582.9000244140625,2941825
13-12-2019 00:00,HDFCLIFE,Financial Services,588.9000244140625,2095278
16-12-2019 00:00,HDFCLIFE,Financial Services,592.0999755859375,1408707
17-12-2019 00:00,HDFCLIFE,Financial Services,595.5999755859375,1636039
18-12-2019 00:00,HDFCLIFE,Financial Services,601.5,3092926
19-12-2019 00:00,HDFCLIFE,Financial Services,605.25,2743666
20-12-2019 00:00,HDFCLIFE,Financial Services,612.7000122070312,3239394
23-12-2019 00:00,HDFCLIFE,Financial Services,616.1500244140625,2325450
24-12-2019 00:00,HDFCLIFE,Financial Services,625.2999877929688,2938173
26-12-2019 00:00,HDFCLIFE,Financial Services,635.5999755859375,3006668
27-12-2019 00:00,HDFCLIFE,Financial Services,631.4000244140625,2494965
30-12-2019 00:00,HDFCLIFE,Financial Services,636.1500244140625,1799682
31-12-2019 00:00,HDFCLIFE,Financial Services,626.0499877929688,2217822
01-01-2020 00:00,HDFCLIFE,Financial Services,621.4500122070312,1749377
02-01-2020 00:00,HDFCLIFE,Financial Services,634.25,1973981
03-01-2020 00:00,HDFCLIFE,Financial Services,630.7000122070312,2401828
06-01-2020 00:00,HDFCLIFE,Financial Services,619.5499877929688,4175516
07-01-2020 00:00,HDFCLIFE,Financial Services,629.9500122070312,2827658
08-01-2020 00:00,HDFCLIFE,Financial Services,628.8499755859375,2248332
09-01-2020 00:00,HDFCLIFE,Financial Services,631.5,1338705
10-01-2020 00:00,HDFCLIFE,Financial Services,623.0999755859375,2181852
13-01-2020 00:00,HDFCLIFE,Financial Services,625.4000244140625,1161466
14-01-2020 00:00,HDFCLIFE,Financial Services,614.25,2109229
15-01-2020 00:00,HDFCLIFE,Financial Services,616.5499877929688,1621297
16-01-2020 00:00,HDFCLIFE,Financial Services,607.5,3196222
17-01-2020 00:00,HDFCLIFE,Financial Services,607.6500244140625,2313300
20-01-2020 00:00,HDFCLIFE,Financial Services,598.25,1870028
21-01-2020 00:00,HDFCLIFE,Financial Services,602.0,1597879
22-01-2020 00:00,HDFCLIFE,Financial Services,612.75,2066862
23-01-2020 00:00,HDFCLIFE,Financial Services,616.0,1685313
24-01-2020 00:00,HDFCLIFE,Financial Services,607.25,2188192
27-01-2020 00:00,HDFCLIFE,Financial Services,599.7000122070312,1531808
28-01-2020 00:00,HDFCLIFE,Financial Services,603.75,1651481
29-01-2020 00:00,HDFCLIFE,Financial Services,605.0499877929688,1324538
30-01-2020 00:00,HDFCLIFE,Financial Services,600.4500122070312,1060111
31-01-2020 00:00,HDFCLIFE,Financial Services,599.2000122070312,1260667
03-02-2020 00:00,HDFCLIFE,Financial Services,565.2999877929688,9688974
04-02-2020 00:00,HDFCLIFE,Financial Services,573.0999755859375,3116053
05-02-2020 00:00,HDFCLIFE,Financial Services,583.4500122070312,2739852
06-02-2020 00:00,HDFCLIFE,Financial Services,593.6500244140625,2299958
07-02-2020 00:00,HDFCLIFE,Financial Services,595.7000122070312,1185529
10-02-2020 00:00,HDFCLIFE,Financial Services,588.0499877929688,1366499
11-02-2020 00:00,HDFCLIFE,Financial Services,583.5,1545054
12-02-2020 00:00,HDFCLIFE,Financial Services,578.3499755859375,3303107
13-02-2020 00:00,HDFCLIFE,Financial Services,577.2000122070312,2107487
14-02-2020 00:00,HDFCLIFE,Financial Services,573.9500122070312,2332181
17-02-2020 00:00,HDFCLIFE,Financial Services,565.9000244140625,918309
18-02-2020 00:00,HDFCLIFE,Financial Services,562.5999755859375,1231246
19-02-2020 00:00,HDFCLIFE,Financial Services,579.0999755859375,1752251
20-02-2020 00:00,HDFCLIFE,Financial Services,573.5,3708209
24-02-2020 00:00,HDFCLIFE,Financial Services,560.7999877929688,1576359
25-02-2020 00:00,HDFCLIFE,Financial Services,569.5,3582636
